State,Year,Month,Period,Indicator,Data Value
WEST VIRGINIA,2021,May,Monthly,Number of Deaths,2149
WISCONSIN,2021,May,Monthly,Number of Deaths,4510
WYOMING,2021,May,Monthly,Number of Deaths,457
PUERTO RICO,2021,May,Monthly,Number of Deaths,2902
ALABAMA,2021,June,Monthly,Number of Deaths,4787
ALASKA,2021,June,Monthly,Number of Deaths,427
ARIZONA,2021,June,Monthly,Number of Deaths,5691
ARKANSAS,2021,June,Monthly,Number of Deaths,2936
CALIFORNIA,2021,June,Monthly,Number of Deaths,22644
COLORADO,2021,June,Monthly,Number of Deaths,3557
CONNECTICUT,2021,June,Monthly,Number of Deaths,2494
DELAWARE,2021,June,Monthly,Number of Deaths,794
DISTRICT OF COLUMBIA,2021,June,Monthly,Number of Deaths,426
FLORIDA,2021,June,Monthly,Number of Deaths,18711
GEORGIA,2021,June,Monthly,Number of Deaths,7479
HAWAII,2021,June,Monthly,Number of Deaths,951
IDAHO,2021,June,Monthly,Number of Deaths,1328
ILLINOIS,2021,June,Monthly,Number of Deaths,9168
INDIANA,2021,June,Monthly,Number of Deaths,5690
IOWA,2021,June,Monthly,Number of Deaths,2448
KANSAS,2021,June,Monthly,Number of Deaths,2296
KENTUCKY,2021,June,Monthly,Number of Deaths,4414
LOUISIANA,2021,June,Monthly,Number of Deaths,4225
MAINE,2021,June,Monthly,Number of Deaths,1321
MARYLAND,2021,June,Monthly,Number of Deaths,4065
MASSACHUSETTS,2021,June,Monthly,Number of Deaths,4528
MICHIGAN,2021,June,Monthly,Number of Deaths,8365
MINNESOTA,2021,June,Monthly,Number of Deaths,3740
MISSISSIPPI,2021,June,Monthly,Number of Deaths,2892
MISSOURI,2021,June,Monthly,Number of Deaths,5463
MONTANA,2021,June,Monthly,Number of Deaths,941
NEBRASKA,2021,June,Monthly,Number of Deaths,1337
NEVADA,2021,June,Monthly,Number of Deaths,2324
NEW HAMPSHIRE,2021,June,Monthly,Number of Deaths,1084
NEW JERSEY,2021,June,Monthly,Number of Deaths,5971
NEW MEXICO,2021,June,Monthly,Number of Deaths,1796
NEW YORK,2021,June,Monthly,Number of Deaths,12468
NORTH CAROLINA,2021,June,Monthly,Number of Deaths,8259
NORTH DAKOTA,2021,June,Monthly,Number of Deaths,549
OHIO,2021,June,Monthly,Number of Deaths,10062
OKLAHOMA,2021,June,Monthly,Number of Deaths,3525
OREGON,2021,June,Monthly,Number of Deaths,3518
PENNSYLVANIA,2021,June,Monthly,Number of Deaths,10691
RHODE ISLAND,2021,June,Monthly,Number of Deaths,796
SOUTH CAROLINA,2021,June,Monthly,Number of Deaths,4554
SOUTH DAKOTA,2021,June,Monthly,Number of Deaths,661
TENNESSEE,2021,June,Monthly,Number of Deaths,6419
TEXAS,2021,June,Monthly,Number of Deaths,18206
UTAH,2021,June,Monthly,Number of Deaths,1675
VERMONT,2021,June,Monthly,Number of Deaths,468
VIRGINIA,2021,June,Monthly,Number of Deaths,5987
WASHINGTON,2021,June,Monthly,Number of Deaths,5613
WEST VIRGINIA,2021,June,Monthly,Number of Deaths,2062
WISCONSIN,2021,June,Monthly,Number of Deaths,4383
WYOMING,2021,June,Monthly,Number of Deaths,488
PUERTO RICO,2021,June,Monthly,Number of Deaths,2594
ALABAMA,2021,July,Monthly,Number of Deaths,5013
ALASKA,2021,July,Monthly,Number of Deaths,481
ARIZONA,2021,July,Monthly,Number of Deaths,5728
ARKANSAS,2021,July,Monthly,Number of Deaths,3359
CALIFORNIA,2021,July,Monthly,Number of Deaths,23676
COLORADO,2021,July,Monthly,Number of Deaths,3676
CONNECTICUT,2021,July,Monthly,Number of Deaths,2623
DELAWARE,2021,July,Monthly,Number of Deaths,788
DISTRICT OF COLUMBIA,2021,July,Monthly,Number of Deaths,466
FLORIDA,2021,July,Monthly,Number of Deaths,20792
GEORGIA,2021,July,Monthly,Number of Deaths,7969
